one_hour_interval;station_id;latitude;longitude;avg_temp;qlevel
2019-01-26 10:00:00;207_H;53.614444;4.960278;7.7;0
2019-01-26 11:00:00;207_H;53.614444;4.960278;7.6;0
2019-01-26 12:00:00;207_H;53.614444;4.960278;7.5;0
2019-01-26 13:00:00;207_H;53.614444;4.960278;7.5;0
2019-01-26 14:00:00;207_H;53.614444;4.960278;7.4;0
2019-01-26 15:00:00;207_H;53.614444;4.960278;7.4;0
2019-01-26 16:00:00;207_H;53.614444;4.960278;7.3;0
2019-01-26 17:00:00;207_H;53.614444;4.960278;7.0;0
2019-01-26 18:00:00;207_H;53.614444;4.960278;7.5;0
2019-01-26 19:00:00;207_H;53.614444;4.960278;7.4;0
2019-01-26 20:00:00;207_H;53.614444;4.960278;7.1;0
2019-01-26 21:00:00;207_H;53.614444;4.960278;7.1;0
2019-01-26 22:00:00;207_H;53.614444;4.960278;7.3;0
2019-01-26 23:00:00;207_H;53.614444;4.960278;7.1;0
2019-01-27 00:00:00;207_H;53.614444;4.960278;7.2;0
2019-01-25 00:00:00;208_H;53.491667;5.941667;-4.4;0
2019-01-25 01:00:00;208_H;53.491667;5.941667;-4.3;0
2019-01-25 02:00:00;208_H;53.491667;5.941667;-4.1;0
2019-01-25 03:00:00;208_H;53.491667;5.941667;-4.3;0
2019-01-25 04:00:00;208_H;53.491667;5.941667;-4.5;0
2019-01-25 05:00:00;208_H;53.491667;5.941667;-4.4;0
2019-01-25 06:00:00;208_H;53.491667;5.941667;-4.9;0
2019-01-25 07:00:00;208_H;53.491667;5.941667;-5.4;0
2019-01-25 08:00:00;208_H;53.491667;5.941667;-5.6;0
2019-01-25 09:00:00;208_H;53.491667;5.941667;-5.9;0
2019-01-25 10:00:00;208_H;53.491667;5.941667;-6.1;0
2019-01-25 11:00:00;208_H;53.491667;5.941667;-5.3;0
2019-01-25 12:00:00;208_H;53.491667;5.941667;-4.5;0
2019-01-25 13:00:00;208_H;53.491667;5.941667;-3.4;0
2019-01-25 14:00:00;208_H;53.491667;5.941667;-2.4;0
